employee_id,first_name,last_name,email,gender,department,job_title,hire_date,exit_date,is_active,salary,currency,country,state,city,manager_id,performance_score,email_valid,date_sequence_error
1001,Ken,Naidoo,ken.naidoo@example.com,Male,Human Resources,Sales Rep,2017-05-29,,True,55286.31,GBP,South Africa,Western Cape,,,Pending,True,False
1002,Sam,Smith,sam.smith@mail.com,Male,Human Resources,Sales Rep,2016-04-27,,True,29408.75,GBP,South Africa,,Johannesburg,1001.0,C,True,False
1003,Oscar,Mthembu,oscar.mthembu@mail.com,Male,Operations,Engineer,2015-12-02,,True,35393.84,USD,South Africa,KwaZulu-Natal,Cape Town,,Pending,True,False
1004,Sam,Brown,sam.brown@example,Male,Sales,Senior Analyst,2016-01-19,,True,39890.2,GBP,United States,KwaZulu-Natal,,1003.0,C,False,False
1005,Faith,Mthembu,faith.mthembu@mail.com,Male,Human Resources,Engineer,2019-06-18,2022-01-22,False,25532.92,GBP,United Kingdom,,Polokwane,,B,True,False
1006,Esi,Dlamini,esi.dlaminimail.com,Male,Information Technology,Manager,2017-12-12,,True,35024.79,GBP,South Africa,Limpopo,,1005.0,D,False,False
1007,David,Zuma,david.zuma@example.com,Male,Sales,Manager,2016-03-26,2017-02-28,False,34989.32,ZAR,United Kingdom,Western Cape,,1003.0,A,True,False
1008,David,Nguyen,david.nguyen@example,Other,Human Resources,Senior Analyst,2018-11-04,,True,13943.31,GBP,United States,Gauteng,,1006.0,Pending,False,False
1009,Liam,Naidoo,liam.naidoo@mail.com,Other,Operations,Engineer,2017-09-07,2020-09-01,False,47211.9,USD,United Kingdom,Western Cape,,1006.0,C,True,False
1010,Chipo,Nkosi,chipo.nkosi@mail.com,Male,Sales,Analyst,2020-05-17,,True,42205.98,USD,South Africa,Limpopo,,1002.0,D,True,False
1011,Mai,Van Wyk,mai.van wykmail.com,Female,Information Technology,Accountant,2022-05-10,,True,27494.85,ZAR,South Africa,Gauteng,,,B,False,False
1012,Nia,Nguyen,nia.nguyen@company.co.za,Female,Sales,Engineer,2021-07-30,,True,32941.42,GBP,United States,Limpopo,,,B,True,False
