employee_id,first_name,last_name,date_of_birth,job_title,department,salary
1,Didi,Ogglebie,12/10/1986,Tax Accountant,Finance,54569.17
2,Robyn,Reding,5/10/1979,Administrative Assistant I,Sales,40561.92
3,Lelia,Garstang,10/11/1986,Paralegal,Finance,17023.31
4,Wadsworth,Tineman,6/25/1986,Design Engineer,Marketing,47627.6
5,Bjorn,Haggus,8/7/1969,Account Executive,Marketing,83432.75
6,Killie,Marriner,5/31/1998,Design Engineer,Finance,
7,Amitie,Bottrell,4/23/1977,Systems Administrator III,IT,56115.64
8,Pepe,Shellcross,9/10/1996,Clinical Specialist,Finance,69721.02
9,Peyter,Reynalds,9/12/1953,Associate Professor,Sales,30907.22
10,Hali,MacKissack,7/28/1958,Budget/Accounting Analyst IV,Marketing,13130.18
11,Tremaine,Harbron,8/17/1977,Civil Engineer,Marketing,1201.72
12,Lena,Balf,12/2/1952,Chemical Engineer,Finance,31220.45
13,Norry,Baulch,1/23/1972,Statistician II,IT,
14,Ashla,Hinchon,12/22/1960,Sales Representative,Sales,81616.95
15,Donnell,Dunster,3/12/1958,Civil Engineer,HR,84573.49
16,Sara,Taffurelli,12/1/1979,Staff Scientist,IT,36069.35
17,Ingeberg,Semrad,8/25/1990,Social Worker,Marketing,26784.18
18,Ania,Franzel,6/15/1953,VP Sales,Finance,10882.06
19,Rudyard,O'Spellissey,9/26/1952,Financial Advisor,HR,83088.99
20,Maribel,Ianne,9/7/1976,Desktop Support Technician,HR,19475.66
21,Logan,Blakden,10/22/1974,Software Engineer II,Marketing,68677.47
22,Lucienne,Andreoletti,9/6/1999,Executive Secretary,Finance,87162.48
23,Helga,Syfax,12/30/1956,Marketing Manager,HR,56607.9
24,Kerrill,De Filippis,4/22/1954,Administrative Officer,Finance,20133.79
25,Nichole,Nunson,7/8/1958,Chief Design Engineer,Marketing,
26,Danya,McElhargy,1/21/1995,Assistant Media Planner,HR,69925.49
27,Pru,Leckey,9/22/1956,Geologist I,IT,69537.03
28,Cymbre,Beat,6/25/1962,Senior Financial Analyst,IT,74525.22
29,Morty,Fardell,11/21/1983,Librarian,IT,
30,Axe,Sharp,5/28/1983,Accounting Assistant IV,Sales,61455.12
31,Grazia,Schukraft,5/7/1983,Environmental Tech,IT,21579.89
32,Eleonore,Portinari,6/18/1967,Product Engineer,IT,11249.34
33,Karola,Parnell,9/18/1990,Senior Cost Accountant,HR,86481.18
34,Anatol,Dohms,9/19/1987,Occupational Therapist,Sales,13917.96
35,Sander,Millin,7/22/1987,Systems Administrator II,Marketing,34686.37
36,Domingo,Jiranek,7/25/1964,Quality Engineer,Marketing,31106.86
37,Karisa,Zambon,1/21/1965,Staff Accountant IV,Finance,68457.48
38,Wynn,Southouse,1/31/1983,Marketing Assistant,Marketing,30088.94
39,Bryce,Viney,3/29/1969,Project Manager,IT,55598.11
40,Cele,Quilliam,10/31/1984,Payment Adjustment Coordinator,Sales,62145.38
41,Michel,McKall,5/15/1990,Project Manager,Sales,10605.37
42,Finley,Kliner,4/24/1964,VP Accounting,Sales,95806.19
43,Lisbeth,Blinco,2/18/1956,Structural Engineer,Finance,49223.37
44,Glenna,Brownsworth,5/8/1953,Operator,IT,91462.51
45,Tiffi,Thorrington,5/26/1993,Mechanical Systems Engineer,Finance,69357.29
46,Wald,Ortells,11/22/1995,Editor,Sales,
47,Cecile,Visick,10/30/1986,Senior Sales Associate,Marketing,14905.92
48,Norton,Esselin,4/28/1972,Social Worker,Finance,
49,Eada,Stiles,8/22/1966,Design Engineer,Sales,44067.39
50,Dale,Drayn,4/12/1985,Professor,HR,35469.61
51,Shandy,Ferre,3/10/1997,VP Quality Control,Finance,
52,Germaine,Laraway,6/21/1983,Automation Specialist IV,Sales,51061.81
53,Evelyn,McKibbin,12/4/1980,Financial Analyst,Finance,10592.24
54,Sheila-kathryn,Cana,7/21/1961,Account Representative III,IT,63579.0
55,Bartram,Ainscow,11/29/1960,Research Nurse,IT,39575.27
56,Emilie,Gauche,11/25/1997,Mechanical Systems Engineer,HR,
57,Emilee,Jentzsch,8/13/1985,GIS Technical Architect,IT,86009.4
58,Honey,Blois,1/15/1970,Human Resources Assistant IV,HR,41225.07
59,Lem,Drinkhill,10/6/1956,Graphic Designer,Finance,87496.35
60,Alena,Raggatt,4/10/1972,Compensation Analyst,Sales,7720.36
61,Margaretta,Newcomb,8/30/1995,Speech Pathologist,Finance,9986.87
62,Clemmie,Wikey,6/11/1966,Registered Nurse,IT,68168.08
63,Kalila,Arblaster,8/27/1980,Assistant Media Planner,IT,
64,Marrissa,Tomasicchio,1/3/1992,Geologist IV,HR,57675.87
65,Adriana,Foulks,5/8/1991,Statistician I,Marketing,80044.52
66,Ashly,Camellini,6/19/1997,Mechanical Systems Engineer,Sales,59897.26
