employee_id,first_name,last_name,date_of_birth,job_title,DEPARTMENT,salary
1,Didi,Ogglebie,12/10/1986,Tax Accountant,FINANCE,54569.17
2,Robyn,Reding,5/10/1979,Administrative Assistant I,SALES,40561.92
3,Lelia,Garstang,10/11/1986,Paralegal,FINANCE,17023.31
4,Wadsworth,Tineman,6/25/1986,Design Engineer,MARKETING,47627.6
5,Bjorn,Haggus,8/7/1969,Account Executive,MARKETING,83432.75
7,Amitie,Bottrell,4/23/1977,Systems Administrator III,IT,56115.64
8,Pepe,Shellcross,9/10/1996,Clinical Specialist,FINANCE,69721.02
9,Peyter,Reynalds,9/12/1953,Associate Professor,SALES,30907.22
10,Hali,MacKissack,7/28/1958,Budget/Accounting Analyst IV,MARKETING,13130.18
11,Tremaine,Harbron,8/17/1977,Civil Engineer,MARKETING,1201.72
12,Lena,Balf,12/2/1952,Chemical Engineer,FINANCE,31220.45
14,Ashla,Hinchon,12/22/1960,Sales Representative,SALES,81616.95
15,Donnell,Dunster,3/12/1958,Civil Engineer,HR,84573.49
16,Sara,Taffurelli,12/1/1979,Staff Scientist,IT,36069.35
17,Ingeberg,Semrad,8/25/1990,Social Worker,MARKETING,26784.18
18,Ania,Franzel,6/15/1953,VP Sales,FINANCE,10882.06
19,Rudyard,O'Spellissey,9/26/1952,Financial Advisor,HR,83088.99
20,Maribel,Ianne,9/7/1976,Desktop Support Technician,HR,19475.66
21,Logan,Blakden,10/22/1974,Software Engineer II,MARKETING,68677.47
22,Lucienne,Andreoletti,9/6/1999,Executive Secretary,FINANCE,87162.48
23,Helga,Syfax,12/30/1956,Marketing Manager,HR,56607.9
24,Kerrill,De Filippis,4/22/1954,Administrative Officer,FINANCE,20133.79
26,Danya,McElhargy,1/21/1995,Assistant Media Planner,HR,69925.49
27,Pru,Leckey,9/22/1956,Geologist I,IT,69537.03
28,Cymbre,Beat,6/25/1962,Senior Financial Analyst,IT,74525.22
30,Axe,Sharp,5/28/1983,Accounting Assistant IV,SALES,61455.12
31,Grazia,Schukraft,5/7/1983,Environmental Tech,IT,21579.89
32,Eleonore,Portinari,6/18/1967,Product Engineer,IT,11249.34
33,Karola,Parnell,9/18/1990,Senior Cost Accountant,HR,86481.18
34,Anatol,Dohms,9/19/1987,Occupational Therapist,SALES,13917.96
35,Sander,Millin,7/22/1987,Systems Administrator II,MARKETING,34686.37
36,Domingo,Jiranek,7/25/1964,Quality Engineer,MARKETING,31106.86
37,Karisa,Zambon,1/21/1965,Staff Accountant IV,FINANCE,68457.48
38,Wynn,Southouse,1/31/1983,Marketing Assistant,MARKETING,30088.94
39,Bryce,Viney,3/29/1969,Project Manager,IT,55598.11
40,Cele,Quilliam,10/31/1984,Payment Adjustment Coordinator,SALES,62145.38
41,Michel,McKall,5/15/1990,Project Manager,SALES,10605.37
42,Finley,Kliner,4/24/1964,VP Accounting,SALES,95806.19
43,Lisbeth,Blinco,2/18/1956,Structural Engineer,FINANCE,49223.37
44,Glenna,Brownsworth,5/8/1953,Operator,IT,91462.51
45,Tiffi,Thorrington,5/26/1993,Mechanical Systems Engineer,FINANCE,69357.29
47,Cecile,Visick,10/30/1986,Senior Sales Associate,MARKETING,14905.92
49,Eada,Stiles,8/22/1966,Design Engineer,SALES,44067.39
50,Dale,Drayn,4/12/1985,Professor,HR,35469.61
52,Germaine,Laraway,6/21/1983,Automation Specialist IV,SALES,51061.81
53,Evelyn,McKibbin,12/4/1980,Financial Analyst,FINANCE,10592.24
54,Sheila-kathryn,Cana,7/21/1961,Account Representative III,IT,63579.0
55,Bartram,Ainscow,11/29/1960,Research Nurse,IT,39575.27
57,Emilee,Jentzsch,8/13/1985,GIS Technical Architect,IT,86009.4
58,Honey,Blois,1/15/1970,Human Resources Assistant IV,HR,41225.07
59,Lem,Drinkhill,10/6/1956,Graphic Designer,FINANCE,87496.35
60,Alena,Raggatt,4/10/1972,Compensation Analyst,SALES,7720.36
61,Margaretta,Newcomb,8/30/1995,Speech Pathologist,FINANCE,9986.87
62,Clemmie,Wikey,6/11/1966,Registered Nurse,IT,68168.08
64,Marrissa,Tomasicchio,1/3/1992,Geologist IV,HR,57675.87
65,Adriana,Foulks,5/8/1991,Statistician I,MARKETING,80044.52
66,Ashly,Camellini,6/19/1997,Mechanical Systems Engineer,SALES,59897.26
67,Matelda,Hender,2/16/1969,Junior Executive,SALES,26599.91
69,Rhodia,Nehl,3/16/1990,Staff Scientist,FINANCE,64883.12
70,Adham,Dellenbroker,1/3/1997,Engineer I,MARKETING,38094.48
71,Natividad,Welbelove,11/20/1967,Quality Control Specialist,FINANCE,88324.09
72,Dale,Stoakes,5/13/1997,Quality Control Specialist,FINANCE,87677.88
73,Dyann,Alvin,2/10/1996,Assistant Media Planner,SALES,24342.28
74,Anabelle,Steels,11/18/1980,Software Consultant,MARKETING,27149.91
